theta,theta_g
1.211504,1.436995167
1.001808,1.09017423
1.104096,1.193189612
1.018832,1.119586233
1.23248,1.225574677
1.280304,1.655647647
1.161056,1.341094207
1.15624,1.175401923
1.109216,1.181965343
1.069792,1.213602735
1.175968,1.092924148
1.147904,1.105843616
1.272224,1.735395597
1.392288,1.318357126
1.632624,1.720483808
1.488704,1.641332578
1.157712,1.26741832
1.084752,1.075267489
1.106784,1.097509105
1.387952,1.124994311
1.439984,1.061954752
1.585776,1.760353392
1.313664,1.324277935
1.14832,1.017609327
1.032288,1.021461027
1.397216,1.116270301
1.26352,1.177485269
1.437088,1.070359858
1.469152,1.131252827
1.336,1.206562592
1.13368,1.268163909
1.06096,1.894475533
1.39336,1.244545896
1.358832,1.504561611
1.348576,1.509104412
1.129408,1.110504766
1.142144,1.125932249
1.076384,1.004674056
1.151568,1.141642773
1.009856,1.016772553
1.01232,1.201300853
1.126288,1.029085719
1.062544,1.156315354
1.242416,1.0280335
1.0824,1.225367331
